thumb_mcp, thumb_pip, thumb_hes, index_mcp, index_pip, middle_mcp, middle_pip,Label
189.5,188.5,177.25,156.5,162.75,181,165,0
191.25,188.75,176,156.25,162.5,180.75,166.5,0
190.25,188,176,156.5,163.5,181.25,165,0
191.5,188.5,174.5,155.5,162.75,181,165.75,0
188.75,187.25,176.25,156,162.25,181,163.5,0
191,189,175.25,155,162,181,166.75,0
189.5,187.75,175.5,156.5,163.25,181,164.5,0
191,187.75,175.25,155.75,162.5,180.5,164,0
190,188.75,176.25,156.25,163,179.5,164,0
190.75,188.25,175,156,162,181.75,165.25,0
189.75,187.25,175.5,156.25,163,180.25,163,0
191,188,174.5,156,161.75,181.25,164.75,0
190.25,188.5,175.5,156,163,180.25,164.5,0
190,187.75,174.75,155.25,162.5,181.25,165.25,0
190.25,188.75,175.5,156.25,162,180.25,165.25,0
190.5,188.25,175.25,155.25,162.5,181.25,165.25,0
192.75,188.25,175.5,156.25,160.75,180,164.5,0
190,187.75,175,156.5,161.75,180.75,164.25,0
190.5,188.5,176.5,155.5,161.5,180,164.25,0
190.75,188,174.5,156,162,181,165.25,0
190.5,188.5,175.5,157,161.75,179.75,165.5,0
190.75,187.75,175.25,155.25,163,180.75,165.5,0
191.25,188.25,175.25,155.25,162.25,180.5,164.25,0
190,187,174.25,156,162.5,181,164,0
189.75,187.5,175.5,156.5,161.75,180.5,165,0
190,188,175.5,157,162.75,180,163.5,0
191.5,188.75,175,156,162,181,165,0
189.75,187.25,174.75,157.25,162.5,181.75,164.75,0
190.25,188.5,176.5,156,162.25,180.5,165.25,0
191,187.5,174.75,156.5,162.25,180.75,165.5,0
191.5,189,174.75,155.25,162.5,181.25,165.5,0
189.25,187.25,175.25,156.75,163.25,181.5,164.25,0
191,189.5,177,155,162.25,180.75,165,0
190.75,188.75,175.75,156.5,162,181,164,0
190.5,188.25,173.75,156,162.75,181.25,165.25,0
189,187.25,176.25,156.75,163,179.25,163.25,0
191.5,190,175.5,155,161,180.75,166.75,0
189.75,187.75,175,155.5,163.5,182,164.75,0
190.5,188.75,175.75,157.5,162.25,180.75,165.75,0
191,188.5,176,156,162.5,179.75,165.25,0
191.25,188.25,175,156.25,161.25,180.5,165,0
190.25,188.5,174.75,156.5,163.75,181.5,166,0
189.75,188,175.25,156.5,163.75,181,163.75,0
191,189.25,175.75,155.75,161.25,179.25,165.75,0
191.75,187,174,154.75,162.75,181.75,166.5,0
187.25,187.5,176,157.5,163,180.5,164.25,0
191.5,190.25,176.5,156.5,163,180.5,164.25,0
191.25,188.25,173.75,156,161.75,181.5,166,0
189,186.75,175.75,157.5,163.5,181.75,166,0
189.5,188.5,175.75,157,162.25,180,163.5,0
191.25,188.25,175.75,156.5,162.5,180.75,166,0
192,188.5,174.75,155.25,163,182.5,166,0
189,188,175.25,157,163.75,182,164,0
190.75,190,176.75,154.5,161.5,179.25,165.25,0
190.75,188.75,174.5,155.75,163.75,182.25,166,0
189.75,187.25,175,156.75,163.5,181,164.75,0
190,189.5,176.25,157.25,163,180.25,165,0
191.25,189.5,175.75,154.5,164,181,166.25,0
191,188,175,155.5,163.75,181,165.75,0
190.5,187.5,176.5,156.5,163,181,165,0
190.75,189.75,176.5,157,161.75,179.75,165,0
191.25,188.25,174.25,155,162.75,181.75,165.5,0
189,187.5,175.75,157.25,163.5,181.25,164.25,0
190.5,189.75,176.75,156.75,162.5,180.5,165.25,0
191,188.25,175.5,156,162.5,181.75,164.5,0
190.5,187.25,175,156,162.75,182.25,166,0
190.5,189.75,176,157,163,181,166,0
190,189,175,156.25,162.75,180.75,165,0
